name,category,website,phone,address,mapsUrl,rating,reviews,priority,email,notes,websiteScore
"Chandler Mori Hamada Limited","law firm","https://chandler.morihamada.com/","+66 2 009 5000","Thailand, 31st and 36th Floors⁠, Sathorn Square Office Tower⁠, 98 North Sathorn Road⁠, Silom⁠, Bangrak⁠, Bangkok 10500⁠","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJT38zfiWf4jARqviTc33Ml0w","4.2","27","NORMAL","","","10"
"Benoit and Partners","law firm","http://benoit-partners.com/","+66 94 235 9302","PGJG+2XX Surawongse Rd Khwaeng Suriyawongse Bang Rak. 56 Bisco Tower, 16th Floor, Unit 21, Bangkok 10500, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ46CUhL6f4jAR0LXdiy2jyAI","4.9","110","NORMAL","","","8"
"GPS Legal","law firm","http://www.gps-legal.com/","+66 84 346 5178","Quant Building, 6/F 2 Soi Sukhumvit 25 Klongtoey, Neua, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ03doIuee4jAR1bJXo640tRI","4.5","11","NORMAL","","","7"
"Ananda Intellectual Property Limited - Thailand","law firm","http://www.ananda-ip.com/","+66 2 235 9539","Bubhajit Building, 16th Floor, Unit A1. 20 North, S Sathon Rd, Si Lom, Bang Rak, Bangkok 10500, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJET6Natqe4jARRRlByN2X1Oo","4.8","19","NORMAL","","","7"
"House & Condo Lawyer","law firm","https://www.facebook.com/housecondolawyer","+66 80 315 5686","นาซ่าสตรีท มอลล์ ( แอร์พอร์ตลิงค์ สถานี, ยูนิต L2-A9 อาคารA (ชั้น2, Ramkhamhaeng Rd, Suan Luang, Bangkok 10250, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTzc_NGyf4jARjDvBfr4vtkE","4.7","29","NORMAL","","","10"
"Umpire Legal - Certified Legal Services Provider in Bangkok, Thailand","law firm","https://www.umpirelegal.com/","+66 2 254 1609","246 Times Square Building Unit 11-01, 11th Floor, Khlongtoey, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJBbLi6OOe4jAR6ZuU2Hbaf3c","4.8","55","NORMAL","","","9"
"Blumenthal Richter & Sumet","law firm","http://brslawyers.com/","+66 2 022 1000","Tower 4, One Bangkok, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJqQINqiuf4jARyk5LdI1aIcc","5","5","NORMAL","","","7"
"Lex Bangkok Law Firm","law firm","https://lexbangkok.com/","+66 62 161 4646","1521 Sukhumvit Rd, Phra Khanong Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJoZYJ2xlj0YsREYYM-6n6rXc","5","12","NORMAL","","","10"
"Lafs Legal Co., Ltd.","law firm","http://www.lafs-legal.com/","+66 2 104 9191","388 Exchange Tower, 29th Floor Unit Number 2901, 2904 Sukhumvit Rd, Klongtoey, Khlong Toei, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ_dYfTHmf4jARnQ3kiS7KRjo","5","14","NORMAL","","","6"
"PriceSanond","law firm","https://www.pricesanond.com/","+66 2 679 1844","29th Floor, Suite 2901, Q.House Lumpini, 1 S Sathon Rd, Thung Maha Mek, Sathon, Bangkok 10120, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJC014ZSWf4jARIka7098FSKE","4.9","9","NORMAL","","","9"
"Thipsamai Padthai Pratoopee","restaurant","https://thipsamai.com/","+66 2 226 6666","313, 315 Maha Chai Rd, Samran Rat, Phra Nakhon, Bangkok 10200, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJxU5YeBaZ4jARvm8EVZYGjGk","4.2","12296","NORMAL","","","10"
"Cappadocia Turkish Restaurant Bangkok","restaurant","https://www.cappadociarestaurantsthailand.com/bangkok","+66 81 552 7489","33, 7 Sukhumvit 11 Aly, Khlong Toei, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ3zV6PzOf4jARGBvpSUSkQlg","4.9","3007","NORMAL","","","9"
"May Kaidee Tanao Vegetarian & Vegan Restaurant","restaurant","https://www.maykaidee.com/restaurants/bangkok","+66 99 105 6446","54/1 Soi Samsen 5, Wat Sam Phraya, Phra Nakhon, Bangkok 10200, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJOS10P9eZ4jARnyOMJWAYx0M","4.8","748","NORMAL","","","10"
"CHOLAS AUTHENTIC INDIAN RESTURANT","restaurant","http://www.cholasthailand.com/","+66 61 395 1269","629 Phetchaburi 31 Alley, Khwaeng Makkasan, Ratchathewi, Bangkok 10400, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1WAuo9-f4jAR02XwOBBNXDA","4.9","8184","HIGH","","",""
"The Family","restaurant","http://www.facebook.com/thefamilybkk","+66 88 673 2111","1, 6 Prachathipatai Rd, Khwaeng Ban Phan Thom, Khet Phra Nakhon, Bangkok 10200, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJhW6hs4uZ4jARwfIKUtEHyRw","4.8","2637","NORMAL","","","8"
"Blue Elephant Bangkok Sathorn Cooking School & Restaurant","restaurant","https://www.blueelephant.com/bangkok","+66 2 673 9353","BTS Surasak station, 41 S Sathon Rd, Yan Nawa, Sathon, Bangkok 10120, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJS7aN2c6Y4jARp2YilGc2Lg0","4.5","3067","NORMAL","","","10"
"Ms.Jigger","restaurant","https://bit.ly/GGMsJigger","+66 2 056 9999","Kimpton Maa-Lai Bangkok, 78 Soi Ton Son, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJVaRrytaf4jARCjRe5akUUwg","4.8","714","NORMAL","","","10"
"Bangkok Garden Rockville","restaurant","http://www.bkgrockville.com/","(301) 545-2848","891 Rockville Pike, Rockville, MD 20852","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ6223caTNt4kRmLBuRgrFVrE","4.5","339","NORMAL","","","8"
"Bangkok is My Hometown","restaurant","https://www.bangkokismyhometown.com/","(571) 664-8484","25387 Pleasant Valley Rd Suite 110, Chantilly, VA 20152","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJs4ABOoZBtokRMw-pxfAXLI8","4.7","15","NORMAL","","","9"
"KHAAN Thai Fine Dining Restaurant","restaurant","https://www.khaanbkk.com/","+66 92 441 6547","14, 3 Soi Somkid, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJm68HaIqf4jARhHLocwFgtyg","4.7","651","NORMAL","","","10"
"Myth I Bangkok Street food | Best mango sticky rice","restaurant","","+66 62 397 9951","84 Chakrabongse Rd, Talat Yot, Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJrfglXG2Z4jAREUZy5E5nh9E","4.7","2600","HIGH","","",""
"ร้านขจร | Kajohn Authentic Southern Thai Cuisine","restaurant","https://www.instagram.com/kajohnrestaurant/","+66 82 553 9541","245, 4 Chakkraphatdi Phong Rd, Khlong Maha Nak, Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJY3fswo-Z4jARm0mwI29TW1M","4.9","1385","NORMAL","","","9"
"Eat Me Bangkok","restaurant","","+66 62 778 6397","234 Samsen 2 Alley, Ban Phan Thom, Phra Nakhon, Bangkok 10200, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTZi8SUyZ4jARzAB1byTr4zc","4.7","287","HIGH","","",""
"Bangkok Garden Pasadena","restaurant","http://bkgpasadena.com/","(410) 766-0973","8043 Ritchie Hwy F, Pasadena, MD 21122","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJgUeTZDL9t4kRrWxCrVuEhEQ","4.7","219","NORMAL","","","8"
"Bisou Bangkok","restaurant","https://bisoubangkok.com/","+66 96 025 5858","68, Lumpini Sub-District, 9 Soi Langsuan, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJMcFRFM2f4jAR8gUhlUdeXe0","4.9","2696","NORMAL","","","10"
"Bangkok Thai Cuisine (Virginia Beach)","restaurant","https://bangkokthaicuisineva.com/bangkokthaivb?utm_source=google","(757) 697-3050","424 Newtown Rd, Virginia Beach, VA 23462","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ_6jZQ16VuokR_U4w5CIMiQM","4.7","51","NORMAL","","","10"
"Indian Express","restaurant","https://indianexpressthai.com/","+66 97 297 0305","70, 55-56 Phetchaburi 31 Alley, Makkasan, Ratchathewi, Bangkok 10400, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZx_rgQ2f4jARkCOc1rNDSOs","4.9","10181","NORMAL","","","error"
"Bangkok 54 Restaurant","restaurant","https://bangkok54restaurant.com/?utm_source=google","(703) 521-4070","2919 Columbia Pike, Arlington, VA 22204","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJv8AJWrq2t4kRY1uj7ypfCoM","4.5","1149","NORMAL","","","9"
"Signature Bangkok","restaurant","http://signaturebangkok.com/","+66 65 950 9742","11th floor, Vie Hotel Bangkok MGallery Hotel Collection, 117/39-40 Phaya Thai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJRxVBdTyf4jARGLWgEHjEIq4","4.8","178","NORMAL","","","8"
"RONGROS","restaurant","https://linktr.ee/RONGROS_bkk","+66 96 946 1785","392/16 Maha Rat Rd, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJjYPUa8GZ4jARi9fgigQOiR8","4.7","4426","NORMAL","","","10"
"Bangkok International Dental Center ศูนย์ทันตกรรม BIDC","dental clinic","https://bangkokdentalcenter.com/","+66 2 692 4433","157, 159 Ratchadaphisek Rd, Khwaeng Din Daeng, Din Daeng, Bangkok 10400, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYTDTNIee4jARNwdHSA64W3o","4.8","1833","NORMAL","","","10"
"Bangkok Smile MALO Clinic in Nana Bangkok, Thailand","dental clinic","https://www.bangkoksmiledental.com/","+66 2 105 4288","MedAsia Healthcare Complex, 14 Sukhumvit Rd, Khlong Toei Nuea, Subdistrict, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJtSrHy-ee4jARbvIgvMAOLRA","4.8","708","NORMAL","","","10"
"BIDC Dental Clinic @ Siam Paragon","dental clinic","https://bangkokdentalcenter.com/","+66 95 210 6871","Room 232 991, 991 Phloen Chit Rd, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJfQGp-c2e4jARkW-vs1bJ4Wo","4.8","344","NORMAL","","","10"
"Thantakit International Dental Center in Bangkok, Thailand","dental clinic","https://www.thantakit.com/","+66 2 718 0777","1939 New, Bangkapi, Huai Khwang, Bangkok 10310, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJRZmn9_ae4jARIxRj_ETGsBU","4.9","2949","NORMAL","","","10"
"Bangkok Dental Spa","dental clinic","http://www.bangkokdentalspa.com/","+66 88 919 2995","27 Methawattana, Sukhumvit 19, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJt-oBMLef4jARtvw-DfkrooU","4.7","221","NORMAL","","","8"
"Truth Dental Clinic","dental clinic","http://www.truthdental.com/","+66 86 393 6231","Alma Link Building, 25 Soi Chidlom, Ploenjit street, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJtU_5Mtue4jARtQJuv4VlNfU","4.8","477","NORMAL","","","8"
"BIDC Dental Clinic @ Emquartier","dental clinic","https://bangkokdentalcenter.com/","+66 97 295 9872","695 EmQuartier shopping center, room no. 4A11, Building A, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJI3i29AGf4jAR6wGC4tZu8mk","4.7","408","NORMAL","","","10"
"Bangkok Smile Dental Clinic Silom","dental clinic","https://www.bangkoksmiledental.com/","+66 2 105 4288","ตรงข้ามศาลาแดง เพลส, 30/8 Sala Daeng Rd, Si Lom, Bang Rak, Bangkok 10500, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJsyqmHSyf4jARI4PA6qbpXBM","4.8","270","NORMAL","","","10"
"My Dentist Dental Clinic","dental clinic","https://mydentistbangkok.com/","+66 81 981 5411","Trendy Building, Soi Sukhumvit 13, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJs34PHuSe4jARNDKbPj3dNN0","4.8","79","NORMAL","","","9"
"Smile and Shine Dental Clinic - คลินิกทันตกรรมสไมล์แอนด์ชายน์ ทำฟัน รากฟันเทียม","dental clinic","http://www.smileandshine.co.th/","+66 91 881 7557","1338, ศุภาลัย พริมา ริวา, 940 Rama III Rd, ช่องนนทรี, Yan Nawa, Bangkok 10120, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJt7NQZF-f4jARkExWHfIBj2I","5","1108","NORMAL","","","8"
"Bangkok Dental Care (ฺฺBangchak)","dental clinic","http://www.facebook.com/bangkokdentalcare","+66 94 546 3236","2389, 35-36 Sukhumvit Rd, Bang Chak, Phra Khanong, Bangkok 10260, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJh_jYzayf4jARJOJhuKck0H8","4.9","421","NORMAL","","","8"
"Thantakit Dental Clinic","dental clinic","https://www.thantakit.com/","+66 2 685 3444","3rd floor​ unit​ 301, 87/2 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTwqBot6e4jARRmYY2udj7CI","4.9","871","NORMAL","","","10"
"Bangkok Dental Care","dental clinic","https://www.facebook.com/BangkokDentalCare","+66 64 196 5596","3rd Floor, Century the Movie Plaza 2, Sukhumvit, Phrakanong, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJK9LEy-uf4jARXWRku3HGSdk","4.7","346","NORMAL","","","10"
"Bangkok International Dental Hospital โรงพยาบาลฟัน BIDH","dental clinic","https://dentalhospitalthailand.com/","+66 95 517 1587","98 Sukhumvit 2, Khwaeng Khlong Toei, Khlong Toei, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJmQ8gdKSf4jARvzz-9LEqDB0","4.3","213","NORMAL","","","10"
"Dr. Sunil Dental Clinic","dental clinic","http://www.drsunildental.com/","+66 65 824 2979","Sukhumvit 71, Soi Preedeepanomyong 14, Moobaan Pakamas (Soi 15) BTS Building No.5 Prakhanong Station (E8, 5 ถนน พัฒนาการ, Suan Luang, Bangkok 10250, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ5Z7hBtKf4jARsMczB_e_f2s","4.8","893","NORMAL","","","7"
"Bangkok Smile Dental Clinic | One Bangkok Branch","dental clinic","https://www.bangkoksmiledental.com/","+66 2 105 4288","โครงการ วัน แบงค็อก ห้องเลขที่ 1424 ชั้น 4, Rama IV Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJo_oxg5TSskwRj53zEQFaGvs","4.7","100","NORMAL","","","10"
"The S Digital Dental Clinic (Invisalign and Implant Centers) คลินิกทันตกรรม ดิเอส สาทร","dental clinic","","+66 2 287 4922","459/21-23 suanplu 8 sathorn rd., tungmahamek, sathorn, Bangkok 10120, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8y1njTCf4jARJjXOo_Gf6V8","4.9","338","HIGH","","",""
"Siam Station Dental Clinic","dental clinic","http://siamstationdental.com/","+66 86 307 0109","328-329 อาคารเซ็นเตอร์พ้อย ออฟ สยามสแควร์, Rama I Rd, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJvWMmcNKe4jARY4VA4XD82MQ","4.9","678","NORMAL","","","7"
"Sukhumvit Skytrain Dental Clinic","dental clinic","http://www.sukhumvitskytraindental.com/","+66 86 316 6009","3079/14-15 Sukhumvit Rd, Bang Chak, Phra Khanong, Bangkok 10250, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1TiEhQKg4jARfhROfToXPkQ","5","1183","NORMAL","","","7"
"คลองเตยทันตแพทย์ KTDC since1964","dental clinic","https://www.facebook.com/KTDC1964?mibextid=9R9pX","","2615 Rama IV Rd, Klongtan Khlong Toei, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8TNFShCf4jAR2nTvgjtVdSs","4.9","492","NORMAL","","","10"
"Zahara Hair Salon Bangkok","hair salon","http://www.zaharasalonbangkok.com/","+66 61 845 2133","888 Phloen Chit Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJmSohneae4jARZsCJq_RYf5g","4.7","2185","NORMAL","","","8"
"Niche Salon Bangkok","hair salon","https://www.nichesalonbangkok.com/","+66 2 654 3993","3d floor Unit China Resources Tower, 87/2, 328 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJYdwot6e4jARwsyWST6ne5s","4.5","285","NORMAL","","","9"
"Newyork Newyork Hairstudio Bangkok","hair salon","http://newyorknewyorkstudio.com/","+66 61 271 1333","23, 1 Soi King Chamnan Aksorn, Phayathai Phaya Thai, Bangkok 10400, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJR8B9U8md4jARs8yHFojNn64","4.9","276","NORMAL","","","7"
"46 Studio Hair Salon in Bangkok","hair salon","http://46studio.net/?utm_source=gmb&utm_medium=referral","+66 99 906 9746","House number 3, Sukhumvit 46 Alley, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJL6EFhdSf4jARJvBYZNMqhrs","4.8","355","NORMAL","","","7"
"AKI ENDO","hair salon","https://aki-endo.com/","+66 2 004 8180","5, metropolis suite by Hilton, 9 Soi Phrom Si 1, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJTwLLmWOf4jARiUi0JIxgzks","4.8","371","NORMAL","","","10"
"Savanna Hair & Nail Salon Bangkok","hair salon","https://www.facebook.com/savannasalonbangkok/services","+66 94 548 8826","Mahatun Plaza, 888/18 Ploenchit Road, Lumphini, Patumwan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJQ5UVdye4jAR27CPxAv6wcM","4.5","240","NORMAL","","","9"
"Chic Studio","hair salon","https://openlink.co/chicclubhair","+66 2 252 2500","ชั้น 2, อาคารสยามสแควร์วัน, ห้องเลขที่ SS2024, เลขที่ 388 Rama I Rd, ปทุมวัน, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJlbaADluZ4jARIvF6_jVDX1U","4.8","1883","NORMAL","","","10"
"Intercoiffeur Hair Salon ห้างนานาสแควร์ ชั้น2","hair salon","https://www.facebook.com/intercoiffeur/","+66 61 979 4774","49/2-12. 2nd floor Nana square, Soi Sukhumvit 3, Khwaeng Khlong Toei Nuea, Khlong Toei, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJXdCfhuee4jARfE7Sg3O1hGY","4.9","437","NORMAL","","","10"
"Senpom Hair Salon Bangkok","hair salon","https://senpomsalonbangkok.com/","+66 87 337 7051","29/8 Chom Thong Rd, Chom Thong, Bangkok 10150, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZ5N2r3CY4jARMauCEMq_og4","4.6","255","NORMAL","","","10"
"Micha&Justin Hair Salon","hair salon","http://www.michaandjustin.com/","+66 95 817 8685","H Sukhumvit, 99/290, 43 Soi Sukhumvit 43, KlongTon-Nua, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJKxXxjrKf4jARd68Mw333RQ0","4.8","483","NORMAL","","","7"
"Green Pastures by Hajin hair salon","hair salon","http://www.facebook.com/greenpasturesbyhajin","+66 2 258 0755","20, 95 1 Sukhumvit 49, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJJQGKuqqf4jAR8JJDZNFNp70","4.7","351","NORMAL","","","8"
"Bond Beauty Bangkok salon","hair salon","http://bondbeautybangkok.com/","+66 95 463 6947","44/5 ซอย อโศก, มนตรี, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJFSZe5Laf4jARkKHtqkkGsJw","4.7","232","NORMAL","","","7"
"INSTYLE SALON","hair salon","https://www.tiktok.com/@instylesalon.bkk?_t=8YWQHro5r6X&_r=1","+66 87 919 5168","MBK Center, MBK CENT ERT 2fl ,4Fl, 444 Phaya Thai Rd, Wang Mai, Pathum Wan, Bangkok 10330, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJqXn1dsaf4jARQ7OCZ4aTPow","4.9","2231","HIGH","","",""
"Clover Hair Salon","hair salon","https://www.instagram.com/cloverhair2?igsh=d21jOXRyZGQ4Y2Nk&utm_source=qr","+66 81 445 6531","27 Sukhumvit 33 Alley, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand","https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJB2Hp7X1iHTERkc-3uaIZ3nc","4.8","128","NORMAL","","","9"
